page_name,about,fan_count,talking_about_count,website,page_id,year,month,day
American Conservative Herald,"Conservative viewpoints are under attack in American society, politics, and personal life.  We fight back against liberals who want to destroy our country.",134773,12453,http://americanconservativeherald.com/,186589878469568,,,
Democracy: A Journal of Ideas,"The mission of Democracy is to build a vibrant and vital progressivism for the twenty-first century that builds on the movement’s proud history, is true to its central values, and is relevant to present times.",4026,24,democracyjournal.org,188165324600426,,,
American Renaissance,,7041,179,www.amren.com,19051993499,,,
Trump Supporters,"*POLITICS
*NEWS",137474,19824,http://donaldtrumpnews.co/,1911476465739018,,,
CNSNews.com,Get a free daily e-mail briefing of everything the liberal media doesn't want you to know: http://on.fb.me/mLTvbR,2182554,47576,,19420215926,2008,6,
Washington Monthly,"The Washington Monthly has become the political magazine and website known for high-quality, ahead-of-the-pack journalism.  ",12250,268,www.WashingtonMonthly.com : twitter.com/washmonthly: pinterest.com/washmonthly/,195442743826815,,,
Chicks On The Right,"www.CHICKSONTHERIGHT.COM.
 http://twitter.com/chicksonright
On air on 93WIBC from 4-6pm ET weekdays
317-684-8444",1181335,120718,http://chicksontheright.com,195530355493,2009,2,27
Gateway Pundit,Where hope made a comeback  http://thegatewaypundit.com http://twitter.com/gatewaypundit,627356,91301,http://thegatewaypundit.com/,196087640574,,,
WD Americans Online,Official Page of http://www.WorldDailyOnline.com,4271993,567811,http://www.WorldDailyOnline.com,1969250316633715,,,
Conservative Republic,Real news for true Conservatives.  Fighting to balance out the media bias. ,63133,6474,http://theconservativerepublic.org,197043394037769,,,
ABNC News,Bringing you the latest news reporting on issues that affect you!,537036,218943,,197579543998318,,,
Intrepid Report,"Founded Sept. 5, 1998, as Online Journal. Name changed to Intrepid Report, Feb. 2011. An independent, feisty, reader-supported alternative to the corporate news media.",1398,5,http://www.intrepidreport.com,199334810084087,,,
ThinkProgress,Moving news forward. http://thinkprogress.org,1779746,76721,http://thinkprogress.org,200137333331078,1800,1,1
The Progressive Magazine,"A voice for peace, social justice, and the common good, since 1909 The Progressive has stood against militarism and the concentration of power in corporate hands. Click to subscribe -> http://goo.gl/Gw7u8 ",41180,326,http://www.progressive.org,200548226627766,1909,,
opednews.com,http://www.opednews.com/,10760,10,http://www.opednews.com,200583909956972,2003,,
MRCTV,MRCTV is the premiere video site for conservatives. Visit us at mrctv.org ,3231254,230564,http://www.mrctv.org,201956993160690,2011,4,
The American Prospect,"The Prospect is a quarterly print and online political magazine based in Washington, D.C. We're liberal, progressive, lefty—and proud of it.",109550,1641,http://www.prospect.org/,20239752285,1990,,
The Raw Story,"Like, share and read stories from America's #1 independent news and politics source. Read us at http://rawstory.com",1089361,256285,http://rawstory.com,20324257234,,,
Occupy Liberals,SEVEN days. ONE website,11986,6,http://www.occupyliberals.com,205525363134528,2016,,
Federalist Press,Conservative Analysis of Political News and Events,3626,19,http://federalistpress.com/,205858019534497,,,
Feministing.com,"Young feminists blogging, organizing, kicking ass",283074,461,http://www.feministing.com,20744822491,2012,11,7
Patriot Tribune,CowboyByte is becoming Patriot Tribune. Stay tuned!,126437,2784,http://patriottribune.com/,208385689205703,2011,,
Barracuda Brigade,100% committed to common sense conservative principles! Join our fight to save America! http://bb4sp.com/,214968,25346,http://bb4sp.com/,208763874023,2009,12,19
New Politics magazine,"Founded in 1961, New Politics is a bi-annual journal of the Left. ",2056,1,http://newpol.org/,208799592506432,,,
True Pundit,#TruePundit is a Philadelphia based conservative news organization generating original content & aggregating the best stories of the day ,2844,264,http://truepundit.com/,210081569389429,2016,6,10
The Young Turks,"Young Turk (n) - Young progressive or insurgent member of an institution, movement, or political party. http://www.youtube.com/theyoungturks",1815650,292819,http://www.tytnetwork.com,210277954204,2002,2,14
The National Memo,Smart. Sharp. Funny. Fearless. ,194950,2700,http://www.nationalmemo.com/,210357995667559,2011,,
USA Features Media,"Network of niche content sites covering news, politics, health, fitness, and self-reliance. ",12901,747,http://www.usafeaturesmedia.net,210937299260017,2015,12,
Human Events,"Human Events is the leading site for news, analysis and commentary from a conservative perspective. Follow us on Twitter @humanevents",740628,19592,www.humanevents.com,212436860202,1944,,
The College Fix,Original. Student reported. Your daily dose of RIGHT-minded campus news and commentary from across the nation. ,11514,689,http://www.thecollegefix.com/,212848742088398,2011,,
Read Me Every Day,news ,2373,12,www.readmeeveryday.com,214752375232773,2011,7,2
Patriot Update,"http://www.patriotupdate.com To counter the blatant bias of the mainstream media, The Patriot Depot is sponsoring a Free Press web site called, The Patriot Update.",274028,5571,http://www.patriotupdate.com,215148520550,,,
Godfather Politics,"http://godfatherpolitics.com Exposing Gangster Government. It's Not Personal, It's Politics.",20562,595,http://godfatherpolitics.com/,216931248339739,2011,,
Daily Progressive,Daily Progressive brings you the social justice analysis missing from mainstream media.,235292,52,https://resistmedia.org,217722751695604,,,
Smirking Chimp,"News and Commentary from the Vast, Left-Wing Conspiracy. Visit our web site, updated daily since December 2000: http://www.smirkingchimp.com",6513,51,http://www.smirkingchimp.com http://twitter.com/SmirkingChimp,218610566124,,,
One America News Network,"Delivering unbiased, substantive national & international news 24/7, One America delivers informative coverage on topics that impact your lives.",199024,22282,http://www.oann.com,220198801458577,,,
Allen West,"LTC (Ret), author of Guardian of the Republic, Fox News contributor & former U.S. Congressman. Visit allenbwest.com & NCPA.org. ",2750841,359656,http://allenbwest.com,22067606728,1961,2,7
Conservative Post,We are Conservative.,1598130,413262,http://conservativepost.com,221573484697614,,,
Against Crony Capitalism,We examine what happens when special interests and the state merge.,443057,12868,www.againstcronycapitalism.org,222149727806378,2011,,
iPatriot,Open source news from regular people to regular people.,208043,9412,http://ipatriot.com,222920264405712,2016,5,1
American Action News,News for the Conservative movement sweeping across America.,1006279,8263,http://americanactionnews.com,223008867858902,,,
Hudson Institute,"An independent policy research organization dedicated to innovative research and analysis that promotes global security, prosperity, and freedom.",9956,87,www.hudson.org www.youtube.com/hudsoninstitute www.twitter.com/hudsoninstitute ,22799114577,1961,,
Wayne Dupree Show,"Wayne Dupree hosts 'The Wayne Dupree Show' Mon-Fri 9-10 PM ET on Spreaker, iHeartRadio, iTunes, Stitcher Radio, Tune-In and YouTube. Download the free Wayne Dupree Show app in Android/iPhone Store",354010,59902,http://www.waynedupree.com,228565633877379,2012,2,17
ClashDaily.com with Doug Giles,http://clashdaily.com/ News & Opinion. Attitude & Action. ClashTV. God & Country Fodder. Dude Stuff.  Run and hide weinies.,1231022,110952,http://clashdaily.com/,228702593913193,2012,,
Equal Voice News,Reporting at the intersection of poverty and policy in America.,10417,13,http://equalvoicenews.com,22931596946,2007,,
Quin Hillyer,http://quinhillyer.com/ Senior editorial writer for the Washington Times and a senior editor for The American Spectator magazine.,160,0,http://quinhillyer.com/,229475497245882,,,
Victoria Jackson,,57125,140,"victoriajackson.com, http://en.wikipedia.org/wiki/Victoria_Jackson, http://www.imdb.com/name/nm0414130/",229633827099583,,,
Big League Politics,America's NEW source for hard-hitting investigative political journalism.  Come watch us play. ,2993,367,BigLeaguePolitics.com,229812467461262,2017,1,1
TomDispatch,TomDispatch.com is for anyone seeking a deeper understanding of our post-9/11 world and a clear sense of how our imperial globe actually works.,41008,3975,http://www.tomdispatch.com,230537773698519,2001,,
BlackListed News,"The show brings some of the best guests  and cutting edge topics to the show. Topics discussed on the broadcast cover a BROAD RANGE of areas, with a primary focus on war and freedom in the technocratic age of the 21st century. ",8399,196,http://www.blacklistednews.com,235651699018,,,
Total Conservative,The Total Conservative website,466,2,http://totalconservative.com/,235880153440564,,,
Project Veritas,"Project Veritas was founded by James O’Keefe to investigate and expose corruption, dishonesty, self-dealing, waste, fraud and other misconduct.",165298,3245,www.projectveritas.com,236763656409160,2010,,
Vision to America,"Founded in 2006, Vision to America exists to help America return to our Founding Father’s vision for a Christian Republic.",14112,139,http://visiontoamerica.org,239225158893,,,
Freedom Outpost,Visit our website at http://FreedomOutpost.com,107683,6867,http://freedomoutpost.com,241732562599215,,,
Now The End Begins,"End Times Bible Prophecy. The war is real, the battle hot, and the TIME is short...to the fight!!",150646,4684,http://www.nowtheendbegins.com,245481491808,2009,12,15
Michael Moore,http://www.michaelmoore.com/,2265031,4664,www.michaelmoore.com www.mikeshighschoolnews.com,24674986856,,,
Patriot Outdoor News,Pro-God. Pro-Gun. All Country. http://patriotoutdoornews.com,234955,3284,http://patriotoutdoornews.com,248272551923470,,,
Information Clearing House,News You Won't Find On CNN,2455,816,http://www.informationclearinghouse.info,248468565222626,,,
MinuteMen News,"http://minutemennews.com honors the minuteman spirit: patriotic, politically enthused, poised to help when the need arises. We are your New Media Militia.",76907,1900,http://www.minutemennews.com,249924365130007,2012,,
Bipartisan Report,We bring the news. Tweet us at @Bipartisanism.,1283131,213117,http://www.bipartisanreport.com,253546571389025,,,
The Political Herald,"ThePoliticalHerald is an online site that content politics news. ”thepoliticalherald” is a multi-platform offering that, for the first time, provides viewe",8199,3058,,255358528223922,,,
US News Feed,Follow us for the latest news in US,17850,342,http://uspoliticsinfo.com/,256185128065500,,,
Media Matters for America,"Media Matters is a progressive research center that monitors, analyzes, & corrects right-wing misinformation.",774892,199970,http://www.mediamatters.org,26595441166,2004,5,
63red,"Conservative news on iPhone, iPad and web.",50,0,http://63red.com,267165846826107,,,
Shareblue,"The official Facebook page of Shareblue
",1350715,176473,http://www.shareblue.com,268311603350722,,,
Michelle Malkin,"Senior Editor, Conservative Review",1843837,4816,http://www.michellemalkin.com,269123710083,1970,,
Conservative Nation,Top Place for Conservative News,98095,26252,http://www.redherald.com,269815666696444,,,
RealClearPolitics,"RealClearPolitics (RCP) is an independent, non-partisan media company that is the trusted source for the best news, analysis and commentary. ",113010,3182,www.realclearpolitics.com,27088225427,2000,,
Laura Ingraham,Weekdays 9am - noon EST http://lauraingraham.com/stationfinder,1265334,91763,"www.LauraIngraham.com
http://twitter.com/IngrahamAngle",271042954725,1963,6,19
MSNBC,"The destination for in-depth analysis of daily headlines, insightful political commentary and informed perspectives. http://www.msnbc.com",1964609,123642,http://www.msnbc.com,273864989376427,1996,7,15
Mint Press News,"Independent watchdog journalism exposing the detrimental effects of imperialism, corporatocracy & the fading away of our civil liberties. ",364876,29989,www.mintpressnews.com,277613075615568,2013,2,20
Washington Free Beacon,"Newsletter: http://freebeacon.com/newsletter/
STORE: https://wfb-store.myshopify.com/
Instagram: http://instagram.com/washingtonfreebeacon
",730459,35053,http://freebeacon.com/,282024895179874,2012,2,7
Modern Liberals,Because the 19th Century already happened.,63973,34169,http://www.progressivefrontier.com,282183791902004,2016,1,
Analog Politics,"A variety of methods are deployed in politics, which include promoting or forcing one's own political views among people, negotiation with other political ",1411,3,http://analogpolitics.com/,283521255350943,,,
GOVTSLAVES.info,,15005,46,http://www.govtslaves.info,288607251359,,,
Bradlee Dean,"http://sonsoflibertyradio.com Bradlee Dean is an ordained preacher and founder of his ministry, You Can Run But You Cannot Hide International",613624,37499,http://www.sonsoflibertyradio.com,289189664545158,1998,,
Deneen Borelli,"Conservative Review Chief Political Correspondent, Fox News contributor and author of ""Blacklash.""",168905,3907,http://deneenborelli.com/,289741874474112,,,
Stacy on the Right Show,"The syndicated SOTR Show:
Daily at 2pm CT on Urban Family Talk
Live stream:
urbanfamilytalk.com",71098,11242,http://stacyontheright.com,292949924146549,,,
FrontPage Magazine,"The Freedom Center’s online magazine, features some of America’s most provocative writers and analysts. Their commentary captures the nation and the world.",37507,662,http://frontpagemag.com,296396490870,,,
David Swanson,"Author, Activist, Blogger",9019,484,http://davidswanson.org,297768373319,1969,12,1
Controversial Times,Daily updated news portal that cuts through the typical mainstream media bias on both sides of the political spectrum,5270,6,http://controversialtimes.com,297993800365881,2013,10,11
The Daily Signal,"The Daily Signal is a news media platform designed to deliver quality reporting, research and commentary on the most important issues facing the country. ",696614,75621,http://www.dailysignal.com,300341323465160,,,
Jayda Fransen,,198024,74172,http://www.jaydafransen.uk,303920943326669,,,
Counter Propa,"Counter Propa is a new publication from H. A. Goodman that cuts through establishment propaganda. Progressives, Independents and Conservatives will enjoy. ",2583,244,http://counterpropa.com,305147709883415,,,
Revive America,Conservative News & Politics,267846,7844,http://www.ReviveUSA.com,305986132775543,2011,12,1
Mean Left Hook Politics,Politics with a mean left hook,85878,14657,,306406853053018,2016,11,9
Commentary,Subscribe to our amazing weekly podcast for free on iTunes http://apple.co/1WFraYG,57920,783,http://www.commentarymagazine.com,30719304648,1945,11,
100 Percent FED Up,We are two moms inspired by the life of Andrew Breitbart. Our goal is to expose the lies of the Left. www.100percentfedup.com,1579365,174924,http://100percentfedup.com,311190048935167,2012,3,
Occupy.com,An Independent nonprofit News and Media site for the 99%. Occupy.com,6298,164,http://www.occupy.com,318434574849521,,,
Twitchy,Michelle Malkin's ground-breaking Twitter aggregation site,1272448,26862,www.twitchy.com,319569361390023,2012,,
Revoke Corporate Personhood -- Reclaim Democracy!,"http://reclaimdemocracy.org - dedicated to restoring democratic authority over corporations, reviving grassroots democracy, and appropriately limiting corporate influence.",5264,210,http://reclaimdemocracy.org,320274540972,2001,,
CommonDreams,"Breaking News & Views for the Progressive Community
Independent, non-profit newscenter established in 1997.
",364942,13789,http://www.commondreams.org,32109457015,1997,,
The American Conservative,Realism and reform. A new voice for a new generation of conservatives.,55083,3624,www.theamericanconservative.com www.twitter.com/amconmag,32125256650,2012,5,14
US INFO News,Visit us and stay informed...,15463,4806,http://usinfonews.com/,322521158087556,,,
Blue Lives Matter,"Dedicated to the warriors who stand on this line, to those who wage war in the streets, to those we have lost and will lose, to our brothers and sisters.",1649965,220994,https://www.bluelivesmatter.blue,326614387531342,2014,,
Conservative Intelligence Briefing,The Conservative Intelligence Briefing is your best source for insider news and information about Conservative Republican candidates and politics.,300511,1184,www.conservativeintel.com,329417987110870,2012,2,24
National Liberty Federation,"Join: http://www.libertyfederation.com


",359852,428144,http://www.libertyfederation.org,330201017032791,,,
Conservative Daily,Defending the US Constitution against the main stream liberal media.,451933,24473,https://conservativedailypost.com/,330474400493018,,,
Crooks and Liars,Specialists in untangling the lies of right wing media.,132393,9982,www.crooksandliars.com,33455892182,2004,,
Patriot.tv,"The newest sibling in the Liberty Alliance family which features conservative journalists and celebrities like Victoria Jackson, Kirk Cameron and others.  ",347,0,http://patriot.tv,335723946520373,,,
The Daily Banter,"“Now that I read ‘The Daily Banter’ there is no need for Gawker on my news feed”

",37930,15624,www.thedailybanter.com,340005092689907,2007,,
NowThis,All the videos you need to stay on the news.,11664950,3499645,http://weibo.com/NowThis,341163402640457,2012,,
NextNewsNetwork,America's 1st 24/7 Liberty News Network - Like our page for the latest breaking news that affects your freedom!,20192,349,http://www.NextNewsNetwork.com,343548022384805,2011,12,22
Red Alert Politics,"An online publication written by young conservatives for young conservatives, featuring politics and policy, political entertainment, and much more.",143337,9784,RedAlertPolitics.com,344637645551128,2012,2,9
Occupy Democrats,"Occupy Democrats, a merger of the goals and interests of Occupy with those of the Democratic Party, is the biggest grassroots political organization/information website in the country.",6665043,2085459,www.occupydemocrats.com,346937065399354,2012,9,21
Liberty Unyielding,"http://libertyunyielding.com The natural progress of things is for liberty to yield and government to gain ground.
— THOMAS JEFFERSON, 1788",95343,3789,http://libertyunyielding.com,350154138430441,2013,2,19
GOPocalypse,GOPocalypse is dedicated to providing a safe space for liberal snowflakes to hang out and troll the sh*t out of Trumpsters,112804,17309,http://www.gopocalypse.org,352859651422892,2012,4,
Upworthy,Upworthy is on a mission to tell stories that bring people together — because we’re all part of the same story. Found something #upworthy? ,11255052,753764,http://www.upworthy.com,354522044588660,2012,3,
Conservative Videos,Play Right.,55942,953,conservativevideos.com,357239084310002,2012,,
The New Civil Rights Movement,The New Civil Rights Movement is an award-winning progressive politics and LGBT news site.,393218,26203,http://thenewcivilrightsmovement.com,358168880614,2009,12,7
Power Line,http://www.powerlineblog.com,10131,8,http://www.powerlineblog.com,359519977908,2002,,
Joe the Plumber,"Don't Spread My Wealth Spread My Work Ethic. Lets's start the next movement, the American Movement! ",829592,110786,http://joeforamerica.com,359591544295,1973,12,3
The Washington Times,The Washington Times is a general interest daily media publication focused on important news generated from the nation's capital.,590080,27794,www.washingtontimes.com,35994014410,1982,,
Conservative Firing Line,"The Facebook community for The Conservative Firing Line blog, where we discuss matters important to conservatives.",75351,29687,http://conservativefiringline.com,362730580442134,,,
Progressive Liberal,"Advocating for a better America by promoting equality, fairness, and social well being.  ",96461,21051,http://www.progressiveliberal.net/,363572153995471,,,
Bullets First,"Bullets First is a modernization of the ancient Greek ""Molon Labe"".  That is to say, it is the philosophy and mindset that if someone wants to remove your freedoms and rights, they must come and take them.",3502,8,http://bulletsfirst.net,363901400376803,,,
The New Observer,The official Facebook page of The New Observer,4251,1875,http://www.newobserveronline.com,364255317006684,2013,3,17
Groopspeak,"Organize, Educate and take action.",637321,139852,http://news.groopspeak.com,369527829841639,,,
Daily News,,4346,1,http://www.interestingdailynews.com/,372220329789295,,,
ThePopulist.buzz,ThePopulist.Buzz is a political journal co-founded by Bob Dreyfuss and Max B. Sawicky. It can be found on the web at ThePopulist.Buzz. ,214,0,http://ThePopulist.Buzz,372907709740736,,,
VDARE.com,,9959,719,www.vdare.com,385640741463156,1999,,
Yes I'm Right,The voice of the nation. ,1490848,165190,,387740238090754,2015,7,4
Right Wing News,"The best conservative news, views, and interviews.",3588476,340615,rightwingnews.com,389658314427637,2001,1,
Everyday Feminism,Check out our online magazine ~ Learn how to apply feminism to your real life and heal from and stand up to everyday oppression. www.everydayfeminism.com,566089,20029,http://www.everydayfeminism.com/,392570397445248,2012,7,26
Jan Morgan,Nationally Recognized 2nd Amendment Speaker/ NRA and State Police Certified Instructor/RSO/ Award winning Journalist/Owner of The Gun Cave  Indoor Range,161768,2855,http://www.janmorganmedia.com,396509850402862,,,
Gatestone Institute,"Gatestone Institute, a non-partisan, not-for-profit international policy council and think tank is dedicated to educating the public about what the mainstream media fails to report.",33262,2418,http://www.gatestoneinstitute.org,398203740209235,2012,,
Washington Examiner,"Political news and analysis about Congress, the president and the federal government.

Twitter: @dcexaminer
Instagram: @washingtonexaminer",710784,42267,http://www.washingtonexaminer.com,40656699159,,,
Independent Journal Review,The latest from Independent Journal Review.,444677,8163,http://ijr.com,406726216017535,2012,,
Trump's for America,,183,0,www.topallnew.com,408532246163750,,,
American Family Radio,AFR exists to help motivate and equip individuals to restore American culture to its moral foundations. ,71366,620,http://www.afr.net,41246929603,,,
The Mental Recession,It is time to return America to the principles upon which she was founded.It is time to restore America to her conservative roots.,63058,1554,http://www.menrec.com,415136781839268,,,
Townhall.com,Townhall.com is the place for proud conservatives. LIKE us!,1301389,23496,www.townhall.com,41632789656,1995,,
The Republican Coffee Corner with Angela,"Daily inspirational musings of the conservative kind with Dr. Angela Graham-West.  Hope that it makes you think, reply and react in a positive manner! Please report any abuse.  Offenders will be banned.",17190,18,http://angelagrahamwest.org/,428053320608798,2013,2,
Dana Loesch,"Nationally syndicated radio host, television commentator, best selling author, NRA National Spokesperson. All opinions mine. ",298285,32947,http://www.DanaRadio.com,42872222699,,,
Daily Kos,NEWS * COMMUNITY * ACTION - Join the conversation at www.dailykos.com,1336209,150650,www.dailykos.com,43179984254,,,
Liberty Writers,Real conservativism without all the B.S.,1727936,287964,http://www.libertywriters.com,433261566868387,2016,3,28
AHTribune,The official Facebook page of 'American Herald Tribune',3380,1905,http://www.ahtribune.com/,433443503516781,,,
Freedom Daily,Conservative News With an Opinion! ,2220211,354778,http://www.FreedomDaily.com,440106476051475,2015,6,1
The D.C. Clothesline,"Airing Out the ""Dirty Laundry"" of Government, Big Business, or Anyone Else Who Stands in the Way of A BETTER America!",108568,5599,http://www.dcclothesline.com,440522575997388,2012,12,3
Political Outcast,Confronting the Establishment Since 1776 -- www.politicaloutcast.com,8218,177,http://www.politicaloutcast.com/,445073642279965,,,
In These Times,"In These Times is a progressive monthly magazine dedicated to covering and analyzing popular movements for social, environmental and economic justice.",127049,44710,http://www.inthesetimes.com http://www.twitter.com/inthesetimesmag ,44667476574,,,
American Enterprise Institute,Cherish freedom? The power of enterprise? Opportunity for all? It's these core beliefs that drive the scholars and staff at the American Enterprise Institute.,304538,4785,http://www.aei.org,44951363957,1943,,
Last Resistance,http://lastresistance.com/,63,0,http://lastresistance.com/,454266821426024,,,
The News Doctors,Changing The Way You View News,1500,4,http://thenewsdoctors.com,454994297918305,,,
Democratic Underground,The official Facebook page of Democratic Underground. Visit us at http://www.democraticunderground.com,84090,3624,http://www.democraticunderground.com http://twitter.com/demunderground,455410617809655,2001,1,20
"Economy In Crisis, INC.",America's trade policies directly and indirectly effect every American citizen. We must be aware of the problems and understand how to fix them. ,24080,12,,456512747696523,,,
The Right Scoop,The Right Scoop is a political and media blog interested in truth.,98576,2619,http://www.therightscoop.com,460197020720819,,,
Vessel News,The conservative media redefined. ,11240,1619,http://vesselnews.io,462215667303888,2016,3,18
Dc Gazette,America's Best Conservative News Source,430482,28075,http://www.dcgazette.com,463855417049923,,,
Demos,An equal say and an equal chance for all.,129403,1058,http://www.demos.org,46587884802,2000,,
Conservative Review,ConservativeReview.com goes beyond empty rhetoric of traditional political media to give conservatives the unfiltered truth about politicians & policies.,1542369,41054,https://www.conservativereview.com,475549362567960,,,
DeadState,"The human condition from an L.A. perspective.

Instagram: http://bit.ly/DeadStateInsta

Twitter: http://bit.ly/DSTweets",187174,90405,deadstate.org,479687202044787,2012,6,19
THE NEWS COMMENTER,"Breaking news discussion. Click ""like"" and get commenting at http://www.TheNewsCommenter.com. Follow @newscommenter",2180,22,http://www.thenewscommenter.com,493304957381719,,,
The Blacksphere,Race-Pimping: the multi-trillion dollar business of Liberalism is OUT! http://racepimping.com,567166,93324,http://www.theblacksphere.net ,49867377595,2008,,
Freedom Pulse,"Conservative news, videos, and meme's! Nothing's based on my truth or your truth -- but God's transcending Truth.",15188,10,http://thetruthdivision.com,501786380024121,,,
Citizens United,"Citizens United is an organization dedicated to restoring our government to citizens' control. Citizens United seeks to reassert the traditional American values of limited government, freedom of enterprise, and national sovereignty and security.",434335,738,http://www.citizensunited.org/ http://www.citizensunitedfoundation.org/ http://www.cupvf.org/ http://www.firefromtheheartland.com/ http://www.battleforamericamovie.com/ http://www.generationzeromovie.com/ http://www.americaatrisk.com/ http://www.RediscoverOurHeritage.com/ http://www.PerfectValor.com/ http://www.ReaganDocumentary.com/ http://www.wehavethepowermovie.com/ http://www.blockingthepath.com/ http://www.hypemovie.com/ http://www.hillarythemovie.com/ http://www.rediscoveringgodinamericamovie.com/ http://www.borderwarmovie.com/ http://www.acluthemovie.com/ http://www.brokenpromisesmovie.com/ http://www.celsius4111.com/,50513265848,1988,,
Hillary for Prison,Holding Hillary Clinton Accountable!,1289998,62650,,507165509486196,,,
DC Statesman,We seek to be a disruptive force in the news industry.,383626,397390,http://DCStatesman.com,511928619002683,2016,,
Dennis Michael Lynch,"DML is an award winning entrepreneur, filmmaker, public speaker, and host of THE DML REPORT. ",1025816,97145,http://dennismichaellynch.com,513600888679373,2013,2,18
Mad World News,"The Voice of Reason in an Insane World
Twitter: https://twitter.com/MadWorldNews
Google+: https://plus.google.com/+Madworldnews",1640470,686162,http://madworldnews.com/,513813158657249,,,
The Patriot Post,It's Right. It's Free. Subscribe at http://patriotpost.us/subscription/new?ref=fb,519762,7712,http://patriotpost.us/,51560645913,,,
Usa Politics AllNews,"
news about politics in USA",941,0,,515629708825640,,,
Conservative Tribune,"The Conservative Tribune was founded to counter-act the mainstream media's open bias against conservatism, capitalism, and the U.S. Constitution.",4077149,229650,http://www.ConservativeTribune.com,519305544814653,,,
TruthFeed,Truthfeed Proudly Endorsed Donald J. Trump for President ,654198,64112,http://truthfeed.com,520289594804628,,,
American Greatness,American Greatness is the leading voice of the next generation of American Conservatism.,11626,1018,http://www.amgreatness.com,522359791285231,,,
I Hate Hillary,Please help us do whatever we can to make sure Hillary Clinton does not become the next President of the United States of America,387025,74519,http://ih8hillary.com,533719316792782,,,
Dissent TV,,4777,3,https://dissent.tv,540157359523493,,,
Red Nation Rising,"""Red Nation Rising"" is our growing community of Patriotic Centrists, Conservatives & Libertarians uniting to the right for civics and constitution!",9798,222,http://www.rednationrising.us,542681229094582,2012,11,10
Today-News-24,Best Politics Source,11036,15,http://to-day-news-24.com/,544518465756524,,,
USA Magazine Studio,Stay tuned with the latest USA news.,54,0,http://usamagazinestudio.com,547477122099171,,,
Dissent Magazine,,37825,624,www.dissentmagazine.org ,54789869630,1954,,
Right Pundits,"Right Pundits is a political gossip and news organization.
http://rightpundits.com
@rightpundits
http://youtube.com/rightpunditsmedia",344,0,"www.rightpundits.com
military.rightpundits.com
food.rightpundits.com
law.rightpundits.com
celebrity.rightpundits.com
sports.rightpundits.com",55076937573,,,
Forward Progressives,"Forward Thinking For Progressive Action
www.ForwardProgressives.com
www.twitter.com/ForwardProgs",352730,23375,http://www.forwardprogressives.com,551987771496911,2012,12,20
Stand With Liberty,,1408944,2929,http://grassfire.com,552194911539549,,,
Bernie Sanders Lovers,Please click on 'see first' so you actually get my posts and articles in your feed occasionally.,101709,10746,,552538524928728,2016,3,8
Informed Comment,A mild mannered professor single-handedly battles all the bull crap we're fed about the rest of the world.,11833,258,http://www.juancole.com,55803739618,,,
Truth Revolt,Using the left's own tactics against them; punching back twice as hard.,37945,378,http://www.truthrevolt.org,563531023712949,,,
America's Freedom Fighters,"REAL NEWS FROM REAL PATRIOTS.  CHECK OUT OUR WEBSITE.
http://www.americasfreedomfighters.com ",588022,375032,http://www.americasfreedomfighters.com,568982666502934,,,
The Common Sense Conservative,Common Sense So Blunt You Can Smoke It!,484089,52922,http://www.CSCMediaGroupUS.com,572064949480977,2014,11,24
Truth And Action,"I'm tired of saying nothing & doing nothing. It's time we rally together, get the truth out & make changes to the system.
http://www.TruthAndAction.org",878386,61869,http://www.TruthAndAction.org,574747565911344,,,
American Center for Law and Justice,The ACLJ & its globally affiliated organizations are committed to ensuring that freedom & liberty are viable in the United States & around the world.,4088359,156428,http://www.aclj.org/ http://twitter.com/JaySekulow/ http://JordanSekulow.com http://twitter.com/jordansekulow,58158120046,,,
Conservative Army,,128056,44856,http://conservativearmy88.com/,590630060984225,,,
Tell Me Now,"Tell Me Now is home to the hottest stories, hacks, and videos on the web. ",2478665,158960,http://www.TMN.today,591402597574018,2014,1,
Donald Trump Is Our President,"Unofficial Page Honoring The 45th President of the United States of America, Donald J. Trump",3069603,194853,http://tothedeathmedia.com,592074077639509,,,
SGS News,"All Top News
",1136,0,http://sgsnews.com/,597953296965194,,,
AMERICAblog.com,American political blog covering US and international politics from a Democratic perspective.  @americablog @americabloggay,10682,357,"http://www.AMERICAblog.com
http://gay.AMERICAblog.com
http://elections.AMERICAblog.com",60190486539,2004,,
U.S. Politics,,49955,11653,,607019026153835,,,
Liberal American,,2111339,108106,dieharddemocrat.com,610045389164725,,,
Patriotic Folks,A Patriotic Approach to News,853119,281671,http://thetruthdivision.com,625416194262163,2015,4,
Fix This Nation,Save this nation. Like this page to learn how.,10261,9,http://www.fixthisnation.com,626080910791883,,,
NewsBusters.org,"America’s leading media watchdog in documenting, exposing and neutralizing liberal media bias.",2785792,73938,http://www.NewsBusters.org,6333396177,2007,,
Restore American Glory,Restore American Glory website,303,2,http://www.restoreamericanglory.com/,634446283374728,,,
TRUMP TRAIN,"#TRUMPTRAIN
Jump Aboard or get run over! If you're not a Snowflake, get on board and join the movement. No safe spaces. We love President Trump! #MAGA",467274,60471,http://swampdrain.com,639552979481215,2015,,
End The Fed,A movement to End The Fed.,365486,1626,http://endingthefed.com/,644891892279936,,,
Barbwire.com,http://barbwire.com,16917,495,http://barbwire.com,645859405473969,,,
Truthdig,"Drilling Beneath the Headlines
www.truthdig.com
https://twitter.com/Truthdig
m.truthdig.com",242517,9359,http://www.truthdig.com,64639136366,2005,,
